,ID,Cases
0,1586210400000,1
1,1586383200000,2
2,1588802400000,4
3,1588888800000,5
4,1588975200000,6
5,1589407200000,7
6,1589925600000,9
7,1590012000000,11
8,1590098400000,15
9,1590184800000,18
10,1590271200000,25
11,1590357600000,28
12,1590444000000,33
13,1590530400000,37
14,1590616800000,40
15,1590703200000,47
16,1590789600000,50
17,1590876000000,54
18,1590962400000,58
19,1591048800000,71
20,1591135200000,86
21,1591221600000,99
22,1591308000000,110
23,1591394400000,125
24,1591480800000,137
25,1591567200000,142
26,1591653600000,162
27,1591740000000,191
28,1591826400000,205
29,1591912800000,231
30,1591999200000,253
31,1592085600000,276
32,1592172000000,285
33,1592258400000,345
34,1592344800000,355
35,1592431200000,412
36,1592517600000,445
37,1592604000000,481
38,1592690400000,502
39,1592776800000,513
40,1592863200000,576
41,1592949600000,632
42,1593036000000,669
43,1593122400000,728
44,1593208800000,783
45,1593295200000,809
46,1593381600000,825
47,1593468000000,915
48,1593554400000,1014
49,1593640800000,1074
50,1593727200000,1142
51,1593813600000,1195
52,1593900000000,1226
53,1593986400000,1256
54,1594072800000,1396
55,1594159200000,1495
56,1594245600000,1599
57,1594332000000,1724
58,1594418400000,1817
59,1594504800000,1855
60,1594591200000,1882
61,1594677600000,2055
62,1594764000000,2175
63,1594850400000,2260
64,1594936800000,2363
65,1595023200000,2476
66,1595109600000,2522
67,1595196000000,2546
68,1595282400000,2668
69,1595368800000,2780
70,1595455200000,2900
71,1595541600000,2986
72,1595628000000,3067
73,1595714400000,3105
74,1595800800000,3127
75,1595887200000,3233
76,1595973600000,3316
77,1596060000000,3399
78,1596146400000,3466
79,1596232800000,3557
80,1596319200000,3585
81,1596405600000,3610
82,1596492000000,3693
83,1596578400000,3780
84,1596664800000,3829
85,1596751200000,3921
86,1596837600000,3971
87,1596924000000,3985
88,1597010400000,4006
89,1597096800000,4030
90,1597183200000,4123
91,1597269600000,4192
92,1597356000000,4235
93,1597442400000,4278
94,1597528800000,4297
95,1597615200000,4308
96,1597701600000,4365
97,1597788000000,4400
98,1597874400000,4448
99,1597960800000,4485
100,1598047200000,4521
101,1598133600000,4527
102,1598220000000,4536
103,1598306400000,4596
104,1598392800000,4615
105,1598479200000,4636
106,1598565600000,4665
107,1598652000000,4683
108,1598738400000,4693
109,1598824800000,4699
110,1598911200000,4728
111,1598997600000,4761
112,1599084000000,4793
113,1599170400000,4830
114,1599256800000,4882
115,1599343200000,4890
116,1599429600000,4897
117,1599516000000,4962
118,1599602400000,5000
119,1599688800000,5033
120,1599775200000,5064
121,1599861600000,5098
122,1599948000000,5112
123,1600034400000,5116
124,1600120800000,5156
125,1600207200000,5222
126,1600293600000,5269
127,1600380000000,5303
128,1600466400000,5349
129,1600552800000,5359
130,1600639200000,5362
131,1600725600000,5426
132,1600812000000,5471
133,1600898400000,5517
134,1600984800000,5526
135,1601071200000,5585
136,1601157600000,5592
137,1601244000000,5600
138,1601330400000,5628
139,1601416800000,5664
140,1601503200000,5709
141,1601589600000,5753
142,1601676000000,5789
143,1601762400000,5802
144,1601848800000,5807
145,1601935200000,5859
146,1602021600000,5892
147,1602108000000,5935
148,1602194400000,5961
149,1602280800000,5992
150,1602367200000,6006
151,1602453600000,6011
152,1602540000000,6051
153,1602626400000,6101
154,1602712800000,6137
155,1602799200000,6161
156,1602885600000,6200
157,1602972000000,6213
158,1603058400000,6218
159,1603144800000,6270
160,1603231200000,6305
161,1603317600000,6340
162,1603404000000,6366
163,1603490400000,6391
164,1603576800000,6395
165,1603663200000,6401
166,1603749600000,6428
167,1603836000000,6460
168,1603922400000,6483
169,1604008800000,6509
170,1604095200000,6525
171,1604181600000,6528
172,1604268000000,6530
173,1604354400000,6560
174,1604440800000,6570
175,1604527200000,6580
176,1604613600000,6600
177,1604700000000,6614
178,1604786400000,6616
179,1604959200000,6634
180,1605045600000,6655
181,1605132000000,6667
182,1605218400000,6681
183,1605304800000,6687
184,1605391200000,6688
185,1605477600000,6689
186,1605564000000,6700
187,1605650400000,6707
188,1605736800000,6712
189,1605823200000,6724
190,1605909600000,6733
191,1605996000000,6737
192,1606168800000,6742
193,1606255200000,6745
194,1606341600000,6758
195,1606428000000,6772
196,1606514400000,6780
197,1606600800000,6784
198,1606687200000,6787
199,1606773600000,6798
200,1606860000000,6804
201,1606946400000,6814
202,1607032800000,6823
203,1607119200000,6830
204,1607292000000,6833
205,1607378400000,6846
206,1607464800000,6864
207,1607551200000,6879
208,1607637600000,6886
209,1607724000000,6908
210,1607810400000,6914
211,1607896800000,6920
212,1607983200000,6950
213,1608069600000,6974
214,1608156000000,6982
215,1608242400000,7004
216,1608328800000,7021
217,1608415200000,7034
218,1608501600000,7041
219,1608588000000,7082
220,1608674400000,7113
221,1608760800000,7143
222,1608847200000,7174
223,1608933600000,7194
224,1609020000000,7219
225,1609106400000,7237
226,1609192800000,7301
227,1609279200000,7370
228,1609365600000,7417
