ID,Cases
KZN-DC29,Ilembe
1641506400000,15047
1641420000000,14996
1641333600000,14913
1641247200000,14772
1641160800000,14581
1641074400000,14544
1640988000000,14521
1640901600000,14444
1640815200000,14286
1640728800000,14152
1640642400000,13971
1640556000000,13903
1640469600000,13854
1640383200000,13819
1640296800000,13671
1640210400000,13536
1640124000000,13366
1640037600000,13187
1639951200000,13048
1639864800000,13000
1639778400000,12920
1639692000000,12797
1639605600000,12749
1639519200000,12615
1639432800000,12479
1639346400000,12354
1639260000000,12296
1639173600000,12237
1639087200000,12151
1639000800000,12071
1638914400000,11993
1638828000000,11944
1638741600000,11889
1638655200000,11886
1638568800000,11869
1638482400000,11849
1638396000000,11833
1638309600000,11816
1638223200000,11807
1638136800000,11796
1637877600000,11794
1637791200000,11791
1637618400000,11790
1637186400000,11788
1637100000000,11786
1636754400000,11785
1636668000000,11783
1636495200000,11781
1636236000000,11780
1636149600000,11779
1636063200000,11777
1635976800000,11775
1635890400000,11771
1635631200000,11770
1635544800000,11769
1635458400000,11768
1635285600000,11767
1635112800000,11766
1634940000000,11765
1634853600000,11764
1634767200000,11762
1634680800000,11759
1634594400000,11756
1634421600000,11754
1634335200000,11750
1634248800000,11745
1634162400000,11738
1634076000000,11736
1633989600000,11724
1633903200000,11722
1633816800000,11719
1633730400000,11718
1633644000000,11715
1633557600000,11713
1633471200000,11709
1633384800000,11706
1633298400000,11704
1633212000000,11701
1633125600000,11698
1633039200000,11691
1632952800000,11684
1632866400000,11675
1632780000000,11667
1632693600000,11655
1632607200000,11650
1632520800000,11648
1632434400000,11641
1632348000000,11633
1632261600000,11622
1632175200000,11610
1632088800000,11591
1632002400000,11585
1631916000000,11566
1631829600000,11558
1631743200000,11545
1631656800000,11511
1631570400000,11492
1631484000000,11463
1631397600000,11456
1631311200000,11443
1631224800000,11420
1631138400000,11390
1631052000000,11348
1630965600000,11309
1630879200000,11282
1630792800000,11264
1630706400000,11226
1630620000000,11189
1630533600000,11145
1630447200000,11097
1630360800000,11030
1630274400000,10974
1630188000000,10932
1630101600000,10895
1630015200000,10863
1629928800000,10807
1629842400000,10726
1629756000000,10644
1629669600000,10538
1629583200000,10505
1629496800000,10441
1629410400000,10379
1629324000000,10280
1629237600000,10174
1629151200000,10089
1629064800000,10003
1628978400000,9960
1628892000000,9922
1628805600000,9844
1628719200000,9759
1628632800000,9687
1628546400000,9583
1628460000000,9540
1628373600000,9512
1628287200000,9458
1628200800000,9395
1628114400000,9332
1628028000000,9259
1627941600000,9200
1627855200000,9145
1627768800000,9133
1627682400000,9107
1627596000000,9067
1627509600000,9025
1627423200000,9003
1627336800000,8963
1627250400000,8922
1627164000000,8905
1627077600000,8887
1626991200000,8871
1626904800000,8843
1626818400000,8824
1626732000000,8789
1626645600000,8757
1626559200000,8753
1626472800000,8747
1626386400000,8733
1626300000000,8727
1626213600000,8724
1626127200000,8723
1625954400000,8721
1625868000000,8711
1625781600000,8690
1625695200000,8658
