,ID,Cases
0,1584482400000,1
1,1588111200000,2
2,1588716000000,3
3,1588802400000,4
4,1589493600000,5
5,1589839200000,6
6,1590098400000,7
7,1590184800000,8
8,1590530400000,9
9,1590789600000,11
10,1590876000000,14
11,1591048800000,20
12,1591135200000,21
13,1591221600000,23
14,1591308000000,26
15,1591653600000,37
16,1591740000000,49
17,1591826400000,58
18,1591912800000,76
19,1591999200000,88
20,1592085600000,95
21,1592172000000,104
22,1592258400000,151
23,1592344800000,155
24,1592431200000,187
25,1592517600000,208
26,1592604000000,222
27,1592690400000,233
28,1592776800000,240
29,1592863200000,277
30,1592949600000,309
31,1593036000000,350
32,1593122400000,388
33,1593208800000,438
34,1593295200000,470
35,1593381600000,494
36,1593468000000,601
37,1593554400000,670
38,1593640800000,748
39,1593727200000,833
40,1593813600000,918
41,1593900000000,949
42,1593986400000,974
43,1594072800000,1119
44,1594159200000,1256
45,1594245600000,1357
46,1594332000000,1496
47,1594418400000,1650
48,1594504800000,1750
49,1594591200000,1777
50,1594677600000,1952
51,1594764000000,2159
52,1594850400000,2315
53,1594936800000,2492
54,1595023200000,2684
55,1595109600000,2787
56,1595196000000,2830
57,1595282400000,3107
58,1595368800000,3322
59,1595455200000,3529
60,1595541600000,3717
61,1595628000000,3910
62,1595714400000,4016
63,1595800800000,4043
64,1595887200000,4252
65,1595973600000,4412
66,1596060000000,4572
67,1596146400000,4707
68,1596232800000,4826
69,1596319200000,4879
70,1596405600000,4903
71,1596492000000,5077
72,1596578400000,5227
73,1596664800000,5342
74,1596751200000,5448
75,1596837600000,5542
76,1596924000000,5590
77,1597010400000,5610
78,1597096800000,5633
79,1597183200000,5769
80,1597269600000,5875
81,1597356000000,5964
82,1597442400000,6052
83,1597528800000,6088
84,1597615200000,6098
85,1597701600000,6207
86,1597788000000,6303
87,1597874400000,6383
88,1597960800000,6427
89,1598047200000,6483
90,1598133600000,6502
91,1598220000000,6520
92,1598306400000,6592
93,1598392800000,6638
94,1598479200000,6674
95,1598565600000,6711
96,1598652000000,6738
97,1598738400000,6751
98,1598824800000,6754
99,1598911200000,6803
100,1598997600000,6839
101,1599084000000,6863
102,1599170400000,6891
103,1599256800000,6916
