ID,Cases
KZN-DC43,Harry Gwala
1641420000000,6908
1641333600000,6903
1641247200000,6885
1641160800000,6858
1641074400000,6856
1640988000000,6850
1640901600000,6833
1640815200000,6807
1640728800000,6785
1640642400000,6759
1640556000000,6751
1640469600000,6742
1640383200000,6739
1640296800000,6718
1640210400000,6671
1640124000000,6628
1640037600000,6557
1639951200000,6509
1639864800000,6501
1639778400000,6491
1639692000000,6429
1639605600000,6424
1639519200000,6380
1639432800000,6344
1639346400000,6299
1639260000000,6296
1639173600000,6286
1639087200000,6252
1639000800000,6229
1638914400000,6197
1638828000000,6169
1638741600000,6151
1638655200000,6147
1638568800000,6144
1638482400000,6136
1638396000000,6126
1638309600000,6124
1638223200000,6122
1637877600000,6118
1637704800000,6117
1637272800000,6116
1637186400000,6115
1636668000000,6114
1636063200000,6113
1635976800000,6112
1635890400000,6111
1635458400000,6110
1635199200000,6109
1634940000000,6108
1634853600000,6106
1634767200000,6105
1634594400000,6104
1634421600000,6103
1634248800000,6102
1634162400000,6101
1634076000000,6099
1633989600000,6098
1633903200000,6094
1633816800000,6093
1633644000000,6092
1633557600000,6090
1633471200000,6089
1633384800000,6088
1633298400000,6077
1633125600000,6076
1633039200000,6073
1632952800000,6069
1632866400000,6062
1632780000000,6057
1632607200000,6047
1632520800000,6044
1632434400000,6042
1632348000000,6040
1632261600000,6028
1632175200000,6023
1632002400000,6017
1631916000000,6015
1631829600000,6010
1631743200000,5998
1631656800000,5990
1631570400000,5974
1631484000000,5961
1631397600000,5955
1631311200000,5954
1631224800000,5941
1631138400000,5924
1631052000000,5898
1630965600000,5885
1630879200000,5851
1630792800000,5846
1630706400000,5839
1630620000000,5794
1630533600000,5759
1630447200000,5710
1630360800000,5681
1630274400000,5629
1630188000000,5624
1630101600000,5617
1630015200000,5584
1629928800000,5531
1629842400000,5487
1629756000000,5418
1629669600000,5376
1629583200000,5366
1629496800000,5344
1629410400000,5301
1629324000000,5236
1629237600000,5165
1629151200000,5142
1629064800000,5098
1628978400000,5091
1628892000000,5085
1628805600000,5049
1628719200000,5008
1628632800000,4973
1628546400000,4922
1628460000000,4910
1628373600000,4907
1628287200000,4900
1628200800000,4868
1628114400000,4842
1628028000000,4821
1627941600000,4805
1627855200000,4781
1627768800000,4778
1627682400000,4773
1627596000000,4759
1627509600000,4748
1627423200000,4734
1627336800000,4726
1627250400000,4710
1627164000000,4706
1627077600000,4702
1626991200000,4695
1626904800000,4687
1626818400000,4681
1626732000000,4671
1626645600000,4658
1626472800000,4656
1626386400000,4653
1626300000000,4650
1626213600000,4649
1626127200000,4645
1626040800000,4644
1625954400000,4638
1625868000000,4636
1625781600000,4629
1625695200000,4621
1625608800000,4613
1625522400000,4606
1625349600000,4603
1625263200000,4601
1625176800000,4598
1625090400000,4583
1625004000000,4578
1624917600000,4574
1624831200000,4571
1624744800000,4570
1624572000000,4568
1624485600000,4567
1624399200000,4565
1624140000000,4562
1624053600000,4561
1623967200000,4560
1623880800000,4558
1623794400000,4556
1623621600000,4551
1623535200000,4550
1623448800000,4549
1623362400000,4547
1623276000000,4546
1623103200000,4543
1622844000000,4536
1622757600000,4533
1622584800000,4532
1622498400000,4531
1622412000000,4530
1622239200000,4529
1622066400000,4524
1621980000000,4523
1621893600000,4520
1620684000000,4519
1620338400000,4518
1620165600000,4516
1619906400000,4515
1619820000000,4514
1619560800000,4513
1619474400000,4512
1619215200000,4508
1619128800000,4506
1618524000000,4505
1618351200000,4504
1618264800000,4501
1618092000000,4497
1618005600000,4496
1617919200000,4495
1617746400000,4494
1617660000000,4492
1617487200000,4491
1617314400000,4490
1617228000000,4489
1617141600000,4482
1616796000000,4481
1616709600000,4478
1616623200000,4477
1616536800000,4476
1616277600000,4475
1616104800000,4474
1615932000000,4472
1615845600000,4471
1615586400000,4466
1615500000000,4465
1615413600000,4464
1615327200000,4463
1615240800000,4457
1615154400000,4455
1615068000000,4453
1614981600000,4452
1614895200000,4451
1614808800000,4447
1614722400000,4444
1614636000000,4441
1614549600000,4437
1614463200000,4436
1614376800000,4432
1614290400000,4427
1614204000000,4426
1614117600000,4424
1614031200000,4422
1613858400000,4419
1613772000000,4417
1613685600000,4413
1613599200000,4408
1613512800000,4401
1613426400000,4395
1613340000000,4389
1613253600000,4387
1613167200000,4384
1613080800000,4380
1612994400000,4378
1612908000000,4375
1612821600000,4371
1612735200000,4366
1612648800000,4360
1612562400000,4358
1612476000000,4348
1612389600000,4340
1612303200000,4330
1612216800000,4322
1612130400000,4297
1612044000000,4296
